GEOID_JOIN,S0_Clearwater_Fund,S1_Palm_Harbor_Mid,S2_John_Hopkins_Mi,S3_Sexton_Elementa,S4_Gibbs_High,S5_McMullen-Booth_,S6_Carwise_Middle,S7_Jamerson_Elemen,S8_Sanderlin_K-8,S9_Ross_Norton,S10_Campbell_Park_E,S11_New_Heights_Ele,S12_Fairmount_Park_,S13_Belleair_Elemen,S14_Skycrest_Elemen,S15_Largo_High,S16_Lealman_Exchang,S17_Mildred_Helms_E,S18_Melrose_Element,S19_Palm_Harbor_Uni,S20_Palm_Harbor_Uni,S21_Clearwater_High,S22_Palm_Harbor_CSA,S23_The_Coliseum,S24_White_Chapel
121030248041,21.09676224222457,29.694153244247552,11.739865676427902,7.501163675923321,9.899606417388023,22.30970597750713,32.99319976596092,9.87325164413363,12.540780285845184,20.206976550649703,11.975146453993254,4.94373422235748,8.317659635085844,20.456100519801808,19.550429706219003,17.04575423060902,3.706227150136399,17.09416136809296,12.639305504221657,32.246491211358176,32.23978927893724,18.58036534836574,31.31129667674561,11.609797605131064,31.360789951040147
121030269132,6.916310268474988,7.632000896072375,30.63773172168337,24.875709813302898,29.80962369278981,6.008035751005346,11.153484841321566,30.34334790094417,32.110873378893125,12.267901966272412,30.87301249924872,25.24116540693825,29.700618478100917,11.488106059013202,7.076160989041737,14.63312127400135,23.434644058292147,16.208307589193474,31.596841020953317,10.184338863183,10.177636930762056,7.162048626268277,9.249144328570427,29.943747723415928,9.298637602864972
121030254171,9.541204536828696,18.54741108944669,19.77546604463401,14.013444136253533,18.94735801574045,12.670070419977076,22.67367076671697,19.48108222389481,21.248607701843763,8.731196531071703,20.01074682219935,14.378899729888897,18.83835280105156,8.975849843419805,7.994872000823121,5.628065130311015,12.572378381242787,6.600815586146326,20.73457534390396,21.099749056557307,21.09304712413636,7.024807642969846,20.164554521944744,19.081482046366563,20.214047796239285
121030253092,9.53613397823467,20.299962604909197,24.441498014413604,18.67947610603312,23.61338998552004,16.175983918619824,25.927541685175967,24.126464009895496,25.91463967162336,4.564674378906871,24.67677879197895,19.04493169966848,22.57583889275708,4.813798348058968,8.964728204818844,1.4034520588661603,17.238410351022374,0.9062502491396316,25.400607313683548,20.87867052795459,20.871968595533648,8.891095799429213,20.896277814581207,23.74751401614616,20.040854738125653
121030269164,3.8499217038144615,8.206179698570764,30.200167474344585,24.438145565964117,29.372059445451026,6.12082827222899,13.053190712620529,29.905783653605383,31.67330913155434,9.5390211781539,30.435448251909936,24.803601159599467,29.26305423076213,8.800128284658845,4.493965668884557,11.945143499647,22.99707981095336,13.520329814839124,31.15927677361453,10.12298598856061,10.116284056139666,4.579853306111095,9.82332313106882,29.506183476077144,9.237284728242576
121030201081,32.68818822968835,43.11190878612358,11.179565843766746,17.006867468258562,8.825390559990664,35.72746151938316,46.41095530783695,8.50571769957375,8.503845688368637,30.6786538016358,11.501490682999064,14.026338429638086,9.840038233442456,30.9277777707879,31.519043305487347,27.5174314815951,16.499155256872157,26.66272293693493,10.220456544496797,44.509525435484754,44.502823503063816,31.40255963269195,44.527132722111375,13.307603793628031,43.62382417516671
121030267053,3.164654709243035,9.841029519451933,28.861952456425698,23.09993054804521,28.03384442753213,5.36748755037495,14.688040533501695,28.567568635686484,30.335094113635453,8.05085682523406,29.09723323399104,23.46538614168058,27.924839212843235,7.271060917974847,2.859115848003386,10.416076132962996,21.65886479303447,11.99126244815512,29.821061755695634,11.75783580944178,11.751133877020836,2.9450034852299245,11.458172951949988,28.16796845815825,10.872134549123746
121030267042,4.555930454647645,9.812625759510466,27.752222547848312,21.99020063946784,26.92411451895475,3.122526577170286,13.806020365624043,27.457838727109117,29.225364205058067,9.901909841546008,27.987503325413662,22.3556562331032,26.815109304265864,9.1221139342868,4.710168864315337,12.267129149274949,20.54913488445709,13.842315464467072,28.711331847118263,12.364963726621095,12.358261794200152,4.796056501541875,11.429769192008523,27.058238549580874,11.479262466303066
121030273192,14.612481228173314,7.161754101405369,37.61428999685016,31.85226808846968,36.786181967956594,7.9843207725647165,7.3134913834303585,37.31990617611094,39.08743165405989,19.964072925970733,37.84957077441549,32.21772368210504,36.677176753267695,19.18427701871152,14.772331948740062,22.329292233699665,30.41120233345893,23.90447854889179,38.573399296120094,10.03792361482644,10.031221682405494,14.8582195859666,8.738269341625987,36.92030599858271,9.175490551232112
121030266011,3.5000281182715143,14.26970850196509,26.08024109753416,20.31821918915368,25.252133068640592,8.785134709303827,18.78873505604373,25.78585727679495,27.55338275474391,3.719471193677629,26.3155218750995,20.68367478278904,24.91226588736866,2.939675286418417,2.3308831940705104,6.069703113349607,18.87715343414293,7.644889428541733,27.03935039680409,15.321365324067898,15.314663391646953,1.8488428955799592,15.338972610694514,25.386257099266707,14.435664063749863
